Bedrooms,Bathrooms,Floor_num,Floor_area,Price
3,3,3,1380,9500000
3,3,8,1350,11300000
3,3,2,1470,7000000
3,2,1,1090,5500000
3,2,7,1220,8000000
3,3,2,1550,14500000
,,,5824,300000000
3,4,5,1654,12500000
3,2,2,975,4000000
2,2,4,740,3500000
3,3,5,1370,9200000
3,2,2,950,4000000
3,3,3,1365,8540000
3,3,3,1128,7118000
3,3,6,1388,9600000
4,3,5,1530,11500000
3,3,4,1200,8700000
3,3,2,1200,8700000
3,3,7,1250,7600000
5,5,9,4350,57000000
4,4,7,2300,22000000
3,3,4,1550,9500000
3,3,1,1550,12500000
3,3,4,1550,12500000
1,1,3,350,5500000
3,3,8,1600,16000000
3,3,4,1600,16000000
3,3,3,1800,18000000
3,3,3,1439,13000000
3,3,3,1505,11500000
3,4,3,1605,17000000
3,3,5,1537,14500000
3,3,3,1700,16150000
3,3,3,1700,16150000
3,2,2,1100,6000000
3,3,4,1450,13100000
3,5,4,1815,22780000
3,3,3,1225,11000000
3,3,2,1400,7800000
3,4,4,1450,14285000
2,2,4,860,5590000
3,2,7,1085,6000000
3,3,7,1255,13805000
4,4,4,1910,13752000
2,2,5,800,3700000
3,3,1,1245,4500000
3,2,5,1250,4500000
3,2,4,1000,5100000
,,2,1900,23000000
,,,216,6000000
2,2,4,650,2200000
2,2,3,650,2300000
3,3,5,1250,11500000
3,2,5,1300,7000000
3,3,1,1500,9000000
3,4,5,1460,11000000
3,2,6,1100,3800000
2,2,3,650,3000000
3,4,4,1578,12000000
3,4,2,1584,12000000
3,3,4,1500,8800000
2,2,3,1050,5500000
3,3,6,1703,8855600
2,2,6,1000,4000000
4,4,1,2300,15000000
4,4,5,2300,15000000
,,14,2750,26125000
3,3,7,1365,7507500
3,3,9,1365,7507500
3,3,9,1365,7507500
3,3,9,1365,7507500
6,6,5,1900,10000000
3,3,5,2156,17000000
3,3,9,1300,9750000
18,10,1,8850,55000000
3,3,6,1360,10000000
,,,1250,23000000
3,3,1,1332,5594400
3,4,5,2200,20000000
,,,3262,4500000
2,2,2,850,5100000
3,2,7,1295,6500000
3,2,1,1100,9500000
3,2,5,1050,5500000
3,3,1,1425,8537500
3,3,7,1425,8537500
3,3,4,1410,7000000
2,2,6,860,4500000
3,3,2,1254,5500000
16,10,,5200,40000000
,,3,2859,35237500
3,3,2,1195,8500000
3,4,9,1800,7500000
3,3,7,1860,12000000
3,4,1,1654,8500000
3,2,3,950,3500000
4,5,13,2950,32000000
5,5,1,3700,44000000
3,2,9,1070,3800000
3,3,1,1400,7000000
4,4,2,1451,7500000
2,2,3,650,2700000
2,2,2,940,4800000
3,3,5,1554,13500000
,,1,368,11040000
3,3,5,1300,8300000
3,3,6,1300,8300000
3,2,6,1276,4000000
4,5,4,3195,34100000
3,3,5,1400,12500000
3,3,4,1320,9130000
3,3,3,1320,5000000
3,3,5,1517,11500000
4,4,5,2644,35000000
2,2,6,800,6950000
4,4,5,2000,22000000
3,3,4,1593,21500000
3,2,6,1220,5000000
2,2,1,1040,6500000
3,3,4,1620,16500000
3,3,4,1550,14500000
2,2,5,1000,5500000
,,3,1840,46000000
2,2,2,740,4000000
3,3,6,1250,7800000
3,2,5,875,5700000
,,3,1650,10000000
2,1,2,630,3500000
2,2,5,800,5300000
3,3,1,1560,14000000
3,4,6,1970,21000000
3,3,2,1802,16000000
,,,4320,80000000
3,3,3,2500,65000000
3,2,2,1000,7300000
4,4,2,1720,14000000
3,3,2,1245,7100000
3,3,5,1200,5000000
2,2,4,925,6800000
3,3,4,1485,13200000
3,3,4,1485,13200000
7,8,6,6357,29000000
3,3,7,1200,6000000
3,3,2,1553,16500000
3,2,6,750,5200000
,,1,2945,100000000
2,2,5,650,3200000
3,3,6,1595,11232000
2,2,6,850,6000000
2,2,7,850,4800000
3,3,1,1425,8500000
2,1,5,700,3000000
3,3,2,1480,10000000
3,3,6,990,4800000
2,1,8,600,3000000
3,2,3,1050,4800000
3,3,5,1350,13000000
2,2,3,1015,6500000
2,2,5,600,2600000
3,3,5,1430,12000000
3,3,1,1690,14800000
3,3,1,1330,7900000
